,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
19,227,Mon 07:11:08 AM,50.1321,8.2821,↑ 341°,370.0,426.0,"16,725",2861.0,FlightAware ADS-B (FRA / EDDF),Arrivals,KLM1818,2025-03-24 12:58:24,53555.0,0.6460849153434903
20,228,Mon 07:11:38 AM,50.1816,8.2546,↑ 340°,376.0,433.0,"18,100",2575.0,FlightAware ADS-B (STR / EDDS),Arrivals,KLM1818,2025-03-24 12:58:24,56130.0,0.6690675734775663
21,229,Mon 07:12:08 AM,50.23,8.2274,↑ 340°,384.0,442.0,"19,300",2525.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,58655.0,0.6916039664051552
22,230,Mon 07:12:38 AM,50.2824,8.1983,↑ 340°,391.0,450.0,"20,625",2550.0,FlightAware ADS-B (EDFC),Arrivals,KLM1818,2025-03-24 12:58:24,61205.0,0.7143634919359877
23,231,Mon 07:13:08 AM,50.3339,8.1697,↑ 340°,395.0,455.0,"21,850",2500.0,FlightAware ADS-B (EDFP),Arrivals,KLM1818,2025-03-24 12:58:24,63705.0,0.7366767522603332
24,232,Mon 07:13:29 AM,50.3698,8.1493,↑ 341°,397.0,457.0,"22,750",2302.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,66007.0,0.7572228023669907
25,233,Mon 07:13:51 AM,50.4096,8.1262,↑ 340°,403.0,464.0,"23,500",1933.0,FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 12:58:24,67940.0,0.7744754152497746
26,234,Mon 07:14:21 AM,50.4604,8.0967,↑ 340°,409.0,471.0,"24,425",1896.0,FlightAware ADS-B (EDGQ),Arrivals,KLM1818,2025-03-24 12:58:24,69836.0,0.7913977918797583
27,235,Mon 07:14:44 AM,50.5041,8.0714,↑ 341°,411.0,473.0,"25,175",1875.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,71711.0,0.8081327371230175
28,236,Mon 07:15:05 AM,50.5413,8.0499,↑ 341°,418.0,481.0,"25,800",1720.0,FlightAware ADS-B (ETOU),Arrivals,KLM1818,2025-03-24 12:58:24,73431.0,0.8234842602261672
29,237,Mon 07:15:25 AM,50.5756,8.0364,↑ 349°,419.0,482.0,"26,350",1662.0,FlightAware ADS-B (CGN / EDDK),Arrivals,KLM1818,2025-03-24 12:58:24,75093.0,0.8383181156897921
30,238,Mon 07:15:42 AM,50.6107,8.0274,↑ 348°,423.0,487.0,"26,825",1683.0,FlightAware ADS-B (EDFJ),Arrivals,KLM1818,2025-03-24 12:58:24,76776.0,0.8533394025401415
31,239,Mon 07:16:06 AM,50.6546,8.0081,↑ 341°,426.0,490.0,"27,500",1650.0,FlightAware ADS-B (DTM / EDLW),Arrivals,KLM1818,2025-03-24 12:58:24,78426.0,0.8680661543542096
32,240,Mon 07:16:22 AM,50.6838,7.9906,↖ 338°,429.0,494.0,"27,925",508.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,78934.0,0.8726002088521166
33,241,Mon 07:17:05 AM,50.7638,7.9391,↖ 338°,430.0,495.0,"28,000",62.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
34,242,Mon 07:17:35 AM,50.8184,7.9041,↑ 339°,430.0,495.0,"28,000",0.0,FlightAware ADS-B (EHHO),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
35,243,Mon 07:18:05 AM,50.8742,7.8682,↖ 338°,429.0,494.0,"28,000",0.0,FlightAware ADS-B (ENS / EHTW),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
36,244,Mon 07:18:35 AM,50.9275,7.8338,↖ 338°,429.0,494.0,"28,000",0.0,FlightAware ADS-B (EDFZ),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
37,245,Mon 07:18:56 AM,50.967,7.8082,↖ 338°,430.0,495.0,"28,000",0.0,FlightAware ADS-B (LUX / ELLX),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
38,246,Mon 07:19:26 AM,51.0213,7.7731,↖ 338°,431.0,496.0,"28,000",0.0,FlightAware ADS-B (ETHE),Arrivals,KLM1818,2025-03-24 12:58:24,78996.0,0.8731535777081604
39,247,Mon 07:19:45 AM,51.0586,7.7489,↖ 338°,431.0,496.0,"28,000",31.0,FlightAware ADS-B (MGL / EDLN),Arrivals,KLM1818,2025-03-24 12:58:24,79027.0,0.8734302621361822
40,248,Mon 07:20:15 AM,51.113,7.7135,↖ 338°,433.0,498.0,"28,025",0.0,FlightAware ADS-B (EDHD),Arrivals,KLM1818,2025-03-24 12:58:24,79027.0,0.8734302621361822
41,249,Mon 07:20:45 AM,51.1686,7.6773,↖ 338°,427.0,491.0,"28,000",-25.0,FlightAware ADS-B (UDE / EHVK),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
42,250,Mon 07:21:15 AM,51.2217,7.6425,↖ 338°,425.0,489.0,"28,000",0.0,FlightAware ADS-B (EHHV),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
43,251,Mon 07:21:57 AM,51.2995,7.5916,↖ 338°,426.0,490.0,"28,000",0.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
44,252,Mon 07:22:27 AM,51.3547,7.5552,↖ 338°,426.0,490.0,"28,000",0.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
45,253,Mon 07:22:45 AM,51.386,7.5346,↑ 339°,426.0,490.0,"28,000",0.0,FlightAware ADS-B (MGL / EDLN),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
46,254,Mon 07:23:10 AM,51.4331,7.5035,↖ 338°,426.0,490.0,"28,000",0.0,FlightAware ADS-B (DTM / EDLW),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
47,255,Mon 07:23:40 AM,51.4858,7.4686,↖ 338°,428.0,493.0,"28,000",0.0,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
48,256,Mon 07:24:10 AM,51.5422,7.4313,↖ 338°,428.0,493.0,"28,000",0.0,FlightAware ADS-B (CGN / EDDK),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
49,257,Mon 07:24:40 AM,51.5962,7.3952,↖ 337°,429.0,494.0,"28,000",0.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
50,258,Mon 07:25:10 AM,51.6509,7.3588,↖ 338°,428.0,493.0,"28,000",0.0,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
51,259,Mon 07:25:40 AM,51.7062,7.3218,↖ 337°,427.0,491.0,"28,000",0.0,FlightAware ADS-B (MST / EHBK),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
52,260,Mon 07:26:10 AM,51.7611,7.285,↖ 337°,427.0,491.0,"28,000",0.0,FlightAware ADS-B (DUS / EDDL),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
53,261,Mon 07:26:40 AM,51.8148,7.2488,↖ 337°,424.0,488.0,"28,000",0.0,FlightAware ADS-B (ETNN),Arrivals,KLM1818,2025-03-24 12:58:24,79002.0,0.8732071295329389
54,262,Mon 07:27:10 AM,51.8696,7.2119,↖ 337°,423.0,487.0,"28,000",-150.0,FlightAware ADS-B (EDLM),Arrivals,KLM1818,2025-03-24 12:58:24,78852.0,0.8718683339134781
55,263,Mon 07:27:40 AM,51.9228,7.1761,↖ 337°,423.0,487.0,"27,850",-500.0,FlightAware ADS-B (EHTE),Arrivals,KLM1818,2025-03-24 12:58:24,78352.0,0.867405681848609
56,264,Mon 07:28:10 AM,51.9776,7.1389,↖ 337°,423.0,487.0,"27,500",-850.0,FlightAware ADS-B (EDFV),Arrivals,KLM1818,2025-03-24 12:58:24,77502.0,0.8598191733383315
57,265,Mon 07:28:40 AM,52.0309,7.1027,↖ 337°,418.0,481.0,"27,000",-1025.0,FlightAware ADS-B (EDLI),Arrivals,KLM1818,2025-03-24 12:58:24,76477.0,0.8506707366053499
58,266,Mon 07:29:10 AM,52.0841,7.0664,↖ 337°,412.0,474.0,"26,475",-1000.0,FlightAware ADS-B (EDFB),Arrivals,KLM1818,2025-03-24 12:58:24,75477.0,0.8417454324756116
59,267,Mon 07:29:40 AM,52.1354,7.0314,↖ 337°,408.0,470.0,"26,000",-972.0,FlightAware ADS-B (EHDL),Arrivals,KLM1818,2025-03-24 12:58:24,74505.0,0.833070036861506
60,268,Mon 07:30:04 AM,52.1782,7.0018,↖ 334°,405.0,466.0,"25,600",-1053.0,FlightAware ADS-B (EDXG),Arrivals,KLM1818,2025-03-24 12:58:24,73452.0,0.8236716916128917
61,269,Mon 07:30:37 AM,52.2241,6.9322,← 300°,412.0,474.0,"25,000",-1211.0,FlightAware ADS-B (EHST),Arrivals,KLM1818,2025-03-24 12:58:24,72241.0,0.8128631483117787
62,270,Mon 07:31:01 AM,52.2397,6.8686,← 289°,415.0,478.0,"24,450",-1528.0,FlightAware ADS-B (GRQ / EHGG),Arrivals,KLM1818,2025-03-24 12:58:24,70713.0,0.7992252836015388
63,271,Mon 07:31:31 AM,52.2586,6.7789,← 289°,408.0,470.0,"23,625",-1500.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,69213.0,0.7858373274069314
64,272,Mon 07:32:01 AM,52.2767,6.6941,← 289°,405.0,466.0,"22,950",-1500.0,FlightAware ADS-B (EHTE),Arrivals,KLM1818,2025-03-24 12:58:24,67713.0,0.772449371212324
65,273,Mon 07:32:31 AM,52.2955,6.6059,← 289°,402.0,463.0,"22,125",-1881.0,FlightAware ADS-B (ENS / EHTW),Arrivals,KLM1818,2025-03-24 12:58:24,65832.0,0.7556608741442865
66,274,Mon 07:33:08 AM,52.3182,6.4992,← 289°,392.0,451.0,"20,850",-2015.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,63817.0,0.7376763863228639
67,275,Mon 07:33:38 AM,52.3352,6.4188,← 289°,385.0,443.0,"19,875",-2000.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,61817.0,0.7198257780633875
68,276,Mon 07:34:08 AM,52.3533,6.3333,← 289°,383.0,441.0,"18,850",-2019.0,FlightAware ADS-B (EHTL),Arrivals,KLM1818,2025-03-24 12:58:24,59798.0,0.7018055890254461
69,277,Mon 07:34:30 AM,52.3656,6.2748,← 289°,380.0,437.0,"18,125",-1962.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,57836.0,0.6842941423228996
70,278,Mon 07:35:00 AM,52.3821,6.1961,← 289°,373.0,429.0,"17,150",-1929.0,FlightAware ADS-B (ETND),Arrivals,KLM1818,2025-03-24 12:58:24,55907.0,0.6670772306566346
71,279,Mon 07:35:19 AM,52.3927,6.1456,← 289°,372.0,428.0,"16,550",-2042.0,FlightAware ADS-B (EHDB),Arrivals,KLM1818,2025-03-24 12:58:24,53865.0,0.6488517596237092
72,280,Mon 07:35:36 AM,52.4027,6.0979,← 289°,369.0,425.0,"15,925",-2043.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,51822.0,0.630617363286654
73,281,Mon 07:36:06 AM,52.4182,6.0231,← 289°,362.0,417.0,"14,950",-1950.0,FlightAware ADS-B (EHDP),Arrivals,KLM1818,2025-03-24 12:58:24,49872.0,0.6132130202336644
74,282,Mon 07:36:36 AM,52.4347,5.9433,← 289°,358.0,412.0,"13,975",-1840.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,48032.0,0.5967904606349461
75,283,Mon 07:36:59 AM,52.4461,5.8882,← 289°,354.0,407.0,"13,325",-1833.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,46199.0,0.580430378165136
76,284,Mon 07:37:21 AM,52.4562,5.8389,← 289°,347.0,399.0,"12,600",-1817.0,FlightAware ADS-B (EHDB),Arrivals,KLM1818,2025-03-24 12:58:24,44382.0,0.5642131005614016
77,285,Mon 07:37:51 AM,52.4731,5.7569,← 289°,341.0,392.0,"11,750",-1793.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,42589.0,0.548210030256781
78,286,Mon 07:38:07 AM,52.4786,5.7149,← 272°,338.0,389.0,"11,225",-1843.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,40746.0,0.5317606947456734
79,287,Mon 07:38:26 AM,52.4714,5.6688,↙ 242°,344.0,396.0,"10,675",-1561.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,39185.0,0.5178282949991521
80,288,Mon 07:38:56 AM,52.4421,5.611,↙ 228°,327.0,376.0,"9,950",-1225.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,37960.0,0.5068947974402228
81,289,Mon 07:39:26 AM,52.4132,5.5571,↙ 229°,301.0,346.0,"9,450",-925.0,FlightAware ADS-B (MGL / EDLN),Arrivals,KLM1818,2025-03-24 12:58:24,37035.0,0.4986388911202149
82,290,Mon 07:39:56 AM,52.3876,5.508,↙ 230°,280.0,322.0,"9,025",-750.0,FlightAware ADS-B (UDE / EHVK),Arrivals,KLM1818,2025-03-24 12:58:24,36285.0,0.49194491302291127
83,291,Mon 07:40:26 AM,52.3633,5.4611,↙ 230°,258.0,297.0,"8,700",-675.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,35610.0,0.48592033273533797
84,292,Mon 07:40:56 AM,52.341,5.4182,↙ 230°,245.0,282.0,"8,350",-675.0,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1818,2025-03-24 12:58:24,34935.0,0.47989575244776467
85,293,Mon 07:41:26 AM,52.3187,5.3759,↙ 229°,245.0,282.0,"8,025",-625.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,34310.0,0.47431743736667825
86,294,Mon 07:41:56 AM,52.2971,5.3355,↙ 229°,245.0,282.0,"7,725",-650.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,33660.0,0.4685159896823484
87,295,Mon 07:42:26 AM,52.274,5.2927,↙ 229°,244.0,281.0,"7,375",-675.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,32985.0,0.4624914093947751
88,296,Mon 07:42:56 AM,52.2516,5.2519,↙ 228°,245.0,282.0,"7,050",-650.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,32335.0,0.4566899617104453
89,297,Mon 07:43:26 AM,52.2291,5.2109,↙ 228°,241.0,277.0,"6,725",-650.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,31685.0,0.45088851402611546
90,298,Mon 07:43:56 AM,52.2076,5.1713,↙ 229°,239.0,275.0,"6,400",-650.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,31035.0,0.4450870663417856
91,299,Mon 07:44:26 AM,52.1862,5.1309,↙ 229°,238.0,274.0,"6,075",-656.0,FlightAware ADS-B (EHMB),Arrivals,KLM1818,2025-03-24 12:58:24,30379.0,0.43923206683267735
92,300,Mon 07:44:44 AM,52.1738,5.1077,↙ 229°,237.0,273.0,"5,875",-750.0,FlightAware ADS-B (EHDB),Arrivals,KLM1818,2025-03-24 12:58:24,29629.0,0.43253808873537364
93,301,Mon 07:45:00 AM,52.1612,5.0842,↙ 229°,235.0,270.0,"5,650",-844.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,28785.0,0.4250051320498746
94,302,Mon 07:45:16 AM,52.1488,5.0614,↙ 229°,230.0,265.0,"5,425",-833.0,FlightAware ADS-B (EHDL),Arrivals,KLM1818,2025-03-24 12:58:24,27952.0,0.41757035370980267
95,303,Mon 07:45:36 AM,52.1364,5.0386,↙ 229°,232.0,267.0,"5,150",-851.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,27101.0,0.4099749198953954
96,304,Mon 07:45:53 AM,52.1253,5.0143,← 249°,231.0,266.0,"4,900",-909.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,26192.0,0.4018618184414634
97,305,Mon 07:46:09 AM,52.1234,4.9851,← 272°,230.0,265.0,"4,650",-1015.0,FlightAware ADS-B (DHR / EHKD),Arrivals,KLM1818,2025-03-24 12:58:24,25177.0,0.3928026347497791
98,306,Mon 07:46:27 AM,52.1248,4.9533,← 274°,227.0,261.0,"4,325",-1031.0,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1818,2025-03-24 12:58:24,24146.0,0.383600646192019
99,307,Mon 07:46:57 AM,52.1268,4.9034,← 274°,221.0,254.0,"3,825",-1000.0,FlightAware ADS-B (LEY / EHLE),Arrivals,KLM1818,2025-03-24 12:58:24,23146.0,0.37467534206228076
100,308,Mon 07:47:27 AM,52.1285,4.856,← 273°,218.0,251.0,"3,325",-938.0,FlightAware ADS-B (EHHV),Arrivals,KLM1818,2025-03-24 12:58:24,22208.0,0.3663034067885863
101,309,Mon 07:47:45 AM,52.1331,4.829,← 304°,217.0,250.0,"3,075",-892.0,FlightAware ADS-B (GLZ / EHGR),Arrivals,KLM1818,2025-03-24 12:58:24,21316.0,0.3583420355048598
102,310,Mon 07:48:04 AM,52.1493,4.8093,↖ 331°,217.0,250.0,"2,775",-878.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,20438.0,0.3505056184789497
103,311,Mon 07:48:26 AM,52.1673,4.7932,↖ 331°,205.0,236.0,"2,475",-952.0,FlightAware ADS-B (UDE / EHVK),Arrivals,KLM1818,2025-03-24 12:58:24,19486.0,0.3420087289474389
104,312,Mon 07:48:56 AM,52.1913,4.7718,↖ 333°,187.0,215.0,"1,950",-1053.0,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1818,2025-03-24 12:58:24,18433.0,0.33261038369882456
105,313,Mon 07:49:13 AM,52.2055,4.7681,↑ 5°,166.0,191.0,"1,650",-909.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,17524.0,0.3244972822448925
106,314,Mon 07:49:29 AM,52.2164,4.7703,↑ 8°,150.0,173.0,"1,450",-750.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,16774.0,0.31780330414758884
107,315,Mon 07:49:51 AM,52.2309,4.7721,↑ 2°,128.0,147.0,"1,175",-750.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,16024.0,0.3111093260502852
108,316,Mon 07:50:01 AM,52.2366,4.7725,↑ 3°,127.0,146.0,"1,050",-750.0,Surface and Near-Surface,Arrivals,KLM1818,2025-03-24 12:58:24,15274.0,0.3044153479529815
109,317,Mon 07:50:07 AM,52.24,4.7728,↑ 3°,125.0,144.0,975,-682.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,14592.0,0.2983282905365
110,318,Mon 07:50:23 AM,52.249,4.7736,↑ 3°,123.0,142.0,800,-703.0,FlightAware ADS-B (UTC / EHSB),Arrivals,KLM1818,2025-03-24 12:58:24,13889.0,0.29205380173329404
111,319,Mon 07:50:39 AM,52.2584,4.7743,↑ 3°,125.0,144.0,600,-656.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,13233.0,0.2861988022241858
112,320,Mon 07:50:55 AM,52.2677,4.7752,↑ 3°,126.0,145.0,450,-656.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,12577.0,0.28034380271507753
113,321,Mon 07:51:11 AM,52.2771,4.7761,↑ 4°,123.0,142.0,250,-703.0,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1818,2025-03-24 12:58:24,11874.0,0.27406931391187156
114,322,Mon 07:51:27 AM,52.2854,4.7769,↑ 3°,123.0,142.0,75,-656.0,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1818,2025-03-24 12:58:24,11218.0,0.2682143144027633
115,323,Mon 07:51:43 AM,52.295,4.7777,↑ 3°,122.0,140.0,,-656.0,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1818,2025-03-24 12:58:24,10562.0,0.262359314893655
116,419,Mon 06:38:46 AM,48.3639,11.7823,← 264°,156.0,180.0,"1,925",0.0,FlightAware ADS-B (ETSE),Arrivals,DLH2304,2025-03-24 13:04:30,0.0,0.1680902526753599
117,420,Mon 06:39:02 AM,48.3627,11.7637,← 264°,154.0,177.0,"2,700",2203.0,FlightAware ADS-B (MUC / EDDM),Arrivals,DLH2304,2025-03-24 13:04:30,2203.0,0.1877526976731732
118,421,Mon 06:39:18 AM,48.3614,11.7472,← 264°,168.0,193.0,"3,100",1453.0,FlightAware ADS-B (IGS / ETSI),Arrivals,DLH2304,2025-03-24 13:04:30,3656.0,0.20072116457368286
119,422,Mon 06:39:34 AM,48.3599,11.7264,← 264°,188.0,216.0,"3,475",1219.0,FlightAware ADS-B (LOIK),Arrivals,DLH2304,2025-03-24 13:04:30,4875.0,0.21160111030783374
120,423,Mon 06:39:50 AM,48.3585,11.7059,← 264°,212.0,244.0,"3,750",1688.0,FlightAware ADS-B (OBF / EDMO),Arrivals,DLH2304,2025-03-24 13:04:30,6563.0,0.22666702367883185
121,424,Mon 06:40:06 AM,48.3592,11.6795,← 281°,223.0,257.0,"4,375",2300.0,FlightAware ADS-B (MUC / EDDM),Arrivals,DLH2304,2025-03-24 13:04:30,8863.0,0.24719522317722975
122,425,Mon 06:40:35 AM,48.3736,11.6402,← 302°,251.0,289.0,"5,475",2669.0,FlightAware ADS-B (ETSL),Arrivals,DLH2304,2025-03-24 13:04:30,11532.0,0.2710168598995011
123,426,Mon 06:41:05 AM,48.3929,11.5928,← 302°,263.0,303.0,"7,000",2925.0,FlightAware ADS-B (EDMG),Arrivals,DLH2304,2025-03-24 13:04:30,14457.0,0.29712337447898535
124,427,Mon 06:41:35 AM,48.412,11.5455,← 302°,275.0,316.0,"8,400",2725.0,FlightAware ADS-B (MUC / EDDM),Arrivals,DLH2304,2025-03-24 13:04:30,17182.0,0.321444828232522
125,428,Mon 06:42:05 AM,48.433,11.4936,← 301°,287.0,330.0,"9,725",2208.0,FlightAware ADS-B (EDMR),Arrivals,DLH2304,2025-03-24 13:04:30,19390.0,0.34115189975098403
126,429,Mon 06:42:28 AM,48.4487,11.4557,← 305°,290.0,334.0,"10,350",1536.0,FlightAware ADS-B (ETHA),Arrivals,DLH2304,2025-03-24 13:04:30,20926.0,0.35486116689426195
